[2025-10-27T15:04:45.732+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2876, completion-tokens, 141, total-tokens, 3017, cost-ms, 5464, requestId, 16f38ab7-4185-4148-9a6e-66792ede3f59
[2025-10-27T15:04:53.162+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2871, completion-tokens, 122, total-tokens, 2993, cost-ms, 4548, requestId, 8e485f03-090f-4fdd-8b57-03bcbae03ed4
[2025-10-27T15:04:59.887+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2876, completion-tokens, 148, total-tokens, 3024, cost-ms, 4421, requestId, 5e7d4508-84e6-4503-838f-8cb5ad1e0e33
[2025-10-27T15:05:06.780+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2873, completion-tokens, 133, total-tokens, 3006, cost-ms, 4300, requestId, 588371b3-4db6-4aed-b2e7-d5eb389f4d61
[2025-10-27T15:05:14.154+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1707, completion-tokens, 49, total-tokens, 1756, cost-ms, 2146, requestId, 7ccadc5d-85c4-447b-b43b-e2d9fc93f4c7
[2025-10-27T15:07:28.289+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2876, completion-tokens, 141, total-tokens, 3017, cost-ms, 5490, requestId, 543bc8dc-4aa4-40a4-9569-feacdef7811a
[2025-10-27T15:07:35.357+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2871, completion-tokens, 122, total-tokens, 2993, cost-ms, 4109, requestId, 88bc12b4-61a5-4725-9161-652b9677a6c3
[2025-10-27T15:07:42.807+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2890, completion-tokens, 123, total-tokens, 3013, cost-ms, 4581, requestId, 6495d789-e3dd-426d-96cc-ad74e82f529f
[2025-10-27T15:07:50.541+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3030, completion-tokens, 126, total-tokens, 3156, cost-ms, 5348, requestId, 918afa43-544a-4c90-8219-02fb9ff39034
[2025-10-27T15:07:58.084+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3172, completion-tokens, 126, total-tokens, 3298, cost-ms, 5028, requestId, 33c5b283-4c9e-43e6-a710-984ea6514e12
[2025-10-27T15:08:04.784+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3314, completion-tokens, 126, total-tokens, 3440, cost-ms, 4398, requestId, 82d53f2a-fe5e-4d61-8725-f859e55b6ded
[2025-10-27T15:08:11.814+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3456, completion-tokens, 126, total-tokens, 3582, cost-ms, 4215, requestId, 303ae588-e2bb-4e82-9370-4fffa0424918
[2025-10-27T15:08:18.369+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3581, completion-tokens, 126, total-tokens, 3707, cost-ms, 3863, requestId, 14bce0b7-cdb4-4386-8851-c2173b64e037
[2025-10-27T15:08:25.439+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3706, completion-tokens, 126, total-tokens, 3832, cost-ms, 4308, requestId, 9efe2408-5ab1-4ffa-8ab9-dd90d4812d29
[2025-10-27T15:08:34.286+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3831, completion-tokens, 126, total-tokens, 3957, cost-ms, 6307, requestId, e1f64bea-8ee8-4cdf-ab9b-cb153de7154e
[2025-10-27T15:08:42.336+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3956, completion-tokens, 126, total-tokens, 4082, cost-ms, 5276, requestId, 2cc8bcf2-05fd-48dd-b55c-170d14b13296
[2025-10-27T15:08:50.696+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 4081, completion-tokens, 126, total-tokens, 4207, cost-ms, 5907, requestId, 93c1cf82-e092-4f37-adb8-8433b6ae1871
[2025-10-27T15:09:01.083+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 4206, completion-tokens, 126, total-tokens, 4332, cost-ms, 6785, requestId, 1b6670d9-5754-4322-bac4-d88c4b03c132
[2025-10-27T15:12:55.774+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2876, completion-tokens, 141, total-tokens, 3017, cost-ms, 4737, requestId, 60f040df-12c4-473d-b7b7-460817fb0c32
[2025-10-27T15:13:04.806+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2871, completion-tokens, 122, total-tokens, 2993, cost-ms, 5762, requestId, 5c54ca7c-52e9-49ee-bfa6-a183da0b5d6f
[2025-10-27T15:13:15.456+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2888, completion-tokens, 123, total-tokens, 3011, cost-ms, 8212, requestId, 2c4f0609-81fa-49d0-a2c6-87efc03f8ea4
[2025-10-27T15:13:23.114+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 3028, completion-tokens, 121, total-tokens, 3149, cost-ms, 5192, requestId, 1116225b-8a22-415d-af51-1ba6bb3487b9
