[2025-10-27T14:09:14.934+08:00] argv { _: [ 'test.jaml' ], '$0': 'midscene' }
[2025-10-27T14:09:35.952+08:00] argv { _: [ 'test.yaml' ], '$0': 'midscene' }
[2025-10-27T14:10:50.871+08:00] argv { _: [ 'test.yaml' ], '$0': 'midscene' }
[2025-10-27T14:49:41.549+08:00] argv { _: [ 'test.yaml' ], '$0': 'midscene' }
[2025-10-27T15:04:33.775+08:00] argv { _: [ 'test.yaml' ], '$0': 'midscene' }
[2025-10-27T15:07:17.414+08:00] argv { _: [ 'test.yaml' ], '$0': 'midscene' }
[2025-10-27T15:11:53.310+08:00] argv { _: [ 'test.yaml' ], '$0': 'midscene' }
[2025-10-27T15:12:45.608+08:00] argv { _: [ 'test.yaml' ], '$0': 'midscene' }
[2025-10-27T15:18:55.926+08:00] argv { _: [ 'test.yaml' ], '$0': 'midscene' }
[2025-10-27T15:31:11.086+08:00] argv { _: [ 'test.yaml' ], '$0': 'midscene' }
[2025-10-27T15:40:08.747+08:00] argv { _: [ 'ebay.yaml' ], '$0': 'midscene' }
[2025-10-27T15:45:12.671+08:00] argv { _: [ 'ebay.yaml' ], '$0': 'midscene' }
