[2025-10-27T13:10:05.619+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1332, completion-tokens, 43, total-tokens, 1375, cost-ms, 2053, requestId, 27c6bafa-eb25-4f8c-899f-ed5910528062
[2025-10-27T13:10:12.201+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1332, completion-tokens, 43, total-tokens, 1375, cost-ms, 4678, requestId, 18c241ce-c8e7-4f80-a86f-aeab75f2824c
[2025-10-27T13:10:19.401+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 87, total-tokens, 1600, cost-ms, 6028, requestId, c484dd5b-5528-4b72-8df6-8f28d9cedf73
[2025-10-27T13:10:23.033+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 70, total-tokens, 1583, cost-ms, 2912, requestId, 6d58223f-0a4a-49a7-abe0-cca0d0558a00
[2025-10-27T13:10:29.682+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 74, total-tokens, 1587, cost-ms, 6084, requestId, 356d5dda-0931-47a0-84eb-ffdf6007549e
[2025-10-27T13:10:32.737+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 69, total-tokens, 1582, cost-ms, 2524, requestId, 23a6a7c8-5225-4a0b-9270-5cbebbc1e5ed
[2025-10-27T13:10:35.962+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 70, total-tokens, 1583, cost-ms, 2597, requestId, 7e079a05-cc7e-4648-8a37-333c91d95677
[2025-10-27T13:10:39.478+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 70, total-tokens, 1583, cost-ms, 2928, requestId, d421abb4-9d56-4fc3-b2fb-daf58f668ef9
[2025-10-27T13:10:43.182+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 80, total-tokens, 1593, cost-ms, 3130, requestId, c25d4507-8a55-491f-b0e0-7953a0adb671
[2025-10-27T13:10:46.651+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 69, total-tokens, 1582, cost-ms, 2896, requestId, a2c91696-eb64-415b-9e23-753d40f218a1
[2025-10-27T13:10:50.153+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 70, total-tokens, 1583, cost-ms, 2974, requestId, 41421b17-ad77-4bd1-a36c-76a0fc1e51e3
[2025-10-27T13:10:54.115+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 80, total-tokens, 1593, cost-ms, 3329, requestId, 3f547a52-f2a6-4e51-ade6-6c021001fc26
[2025-10-27T13:10:57.833+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 87, total-tokens, 1600, cost-ms, 3049, requestId, 9046ba07-de84-4691-81c9-f6d1ac2a0b81
[2025-10-27T13:11:01.786+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 66, total-tokens, 1579, cost-ms, 3388, requestId, 7f5ebfd4-c04b-4dda-a94b-fb7c201822b0
[2025-10-27T13:11:04.909+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 73, total-tokens, 1586, cost-ms, 2641, requestId, 96c8930f-82ab-4197-b1c9-5a5f9a997809
[2025-10-27T13:25:16.831+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1332, completion-tokens, 43, total-tokens, 1375, cost-ms, 2598, requestId, fe6b875c-2e65-4d12-bf22-ce92a43beee0
[2025-10-27T13:25:20.565+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1332, completion-tokens, 43, total-tokens, 1375, cost-ms, 1842, requestId, d829f88c-1441-4730-a270-250dc8d2642f
[2025-10-27T13:25:25.248+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 81, total-tokens, 1594, cost-ms, 3585, requestId, d2409268-a340-4df6-8588-c3fbe8acfc0a
[2025-10-27T13:25:29.238+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 73, total-tokens, 1586, cost-ms, 3512, requestId, 772e4e12-2bda-4ce7-a3a9-8269a522cfbb
[2025-10-27T13:25:32.710+08:00] model, qwen3-vl-plus, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1513, completion-tokens, 69, total-tokens, 1582, cost-ms, 2962, requestId, b3a531d6-22f3-4e43-a9b6-2f6f510ebf6a
