2026-01-19 15:18:49,656 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455cca0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,663 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455c1c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,668 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455ce20>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,680 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d150>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,683 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d240>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,687 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d390>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,697 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d6c0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,699 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d7b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,703 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d900>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,709 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d0f0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,711 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d420>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
2026-01-19 15:18:49,714 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fc24455d450>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/8c5eb8721eb5723b9ab89c889e35f4df/element
