"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试描述: 1，打开网页 http://192.168.0.243:8083/login?redirect=/index
2，第一个登录账号输入框中输入“admin”
3，第二个密码输入框中输入“Qa@123456”
4，点击登录按钮
结果：左上角显示“起搏器植入患者专病库系统”则返回“测试通过”，否则返回“测试失败”","1008","登录","","Mon Feb 16 19:00:15 CST 2026","failed","Mon Feb 16 19:00:16 CST 2026","","test_core2","",""
"简单的独立测试","1003","test_simple_case","","Mon Feb 16 19:01:06 CST 2026","passed","Mon Feb 16 19:01:07 CST 2026","","test_core2","",""
"测试描述: 1，在当前页面，继续操作。
2，点击左边菜单“系统管理”，再点击“用户管理”。
结果：输出共有几项数据。如果有23项数据则返回“测试通过”，否则返回“测试失败”","1005","首页阅读功能","","Mon Feb 16 19:01:05 CST 2026","failed","Mon Feb 16 19:01:06 CST 2026","","test_core2","",""
"测试描述: 1，打开网页 http://novel.hctestedu.com/
2，点击小说“成吉思汗的动物军团”
3，然后再点击“点击阅读”按钮
结果：如果进入了阅读页面且看到第一章名称则返回“测试通过哦”，否则返回“测试失败哦”","1005","首页阅读功能","","Mon Feb 16 17:21:35 CST 2026","passed","Mon Feb 16 17:21:36 CST 2026","","test_core2","",""
"简单的独立测试","1001","test_simple_case","","Mon Feb 16 17:01:29 CST 2026","passed","Mon Feb 16 17:01:30 CST 2026","","test_core","",""
"测试描述: 1，打开网页 http://192.168.0.243:8083/login?redirect=/index
2，请输入登录账号的输入框中输入“admin”
3，请输入密码的输入框中输入""Qa@123456""
4，点击登录按钮
结果：zuoshangjiao左上角显示“起搏器植入患者专病库系统”则返回“测试通过”，否则返回“测试失败”","1006","登录","","Mon Feb 16 18:57:06 CST 2026","failed","Mon Feb 16 18:57:07 CST 2026","","test_core2","",""
"AI自动化测试用例执行","1002","首页搜索功能测试","","Mon Feb 16 17:01:28 CST 2026","passed","Mon Feb 16 17:01:29 CST 2026","","test_core","",""
"测试描述: 1，打开网页 http://192.168.0.243:8083/login?redirect=/index
2，账号输入框输入：admin
3，密码输入框输入：Qa@123456
4，点击登录按钮
5，点击左边菜单“患者发现”，再点击“患者检索”。
结果：输出共有几项数据。如果有13项数据则返回“测试通过”，否则返回“测试失败”","1005","登录","","Mon Feb 16 18:43:44 CST 2026","failed","Mon Feb 16 18:43:45 CST 2026","","test_core2","",""
"测试描述: 1，打开网页 http://192.168.0.243:8083/login?redirect=/index
2，请输入登录账号：admin
3，请输入密码：Qa@123456
4，点击登录按钮
5，点击左边菜单“患者发现”，再点击“患者检索”。
结果：输出共有几项数据。如果有3项数据则返回“测试通过”，否则返回“测试失败”","1006","登录","","Mon Feb 16 18:49:17 CST 2026","failed","Mon Feb 16 18:49:18 CST 2026","","test_core2","",""
"测试描述: 1，在当前页面，继续操作。
2，点击左边菜单“系统管理”，再点击“用户管理”。
结果：输出共有几项数据。如果有3项数据则返回“测试通过”，否则返回“测试失败”","1006","首页阅读功能","","Mon Feb 16 18:42:21 CST 2026","failed","Mon Feb 16 18:42:22 CST 2026","","test_core2","",""
"测试描述: 1，打开网页 http://192.168.0.243:8083/login?redirect=/index
2，第一个登录账号输入框中输入admin
3，第二个密码输入框中输入Qa@123456
4，点击登录按钮
结果：左上角显示“起搏器植入患者专病库系统”则返回“测试通过”，否则返回“测试失败”","1006","登录","","Mon Feb 16 19:01:04 CST 2026","failed","Mon Feb 16 19:01:05 CST 2026","","test_core2","",""
"测试描述: 1，打开网页 http://novel.hctestedu.com/
2，点击小说“成吉思汗的动物军团”
3，然后再点击“点击阅读”按钮
结果：如果进入了阅读页面且看到第一章名称为阿凡达，则返回“测试通过哦”，否则返回“测试失败哦”","1005","首页阅读功能","","Mon Feb 16 17:27:42 CST 2026","passed","Mon Feb 16 17:27:43 CST 2026","","test_core2","",""
"测试描述: 1，打开网页 http://192.168.0.243:8083/login?redirect=/index
2，账号输入框输入：admin
3，密码输入框输入：Qa@123456
4，点击登录按钮
5，点击左边菜单“患者发现”，再点击“患者检索”。
结果：输出共有几项数据。如果有3项数据则返回“测试通过”，否则返回“测试失败”","1006","登录","","Mon Feb 16 18:46:53 CST 2026","failed","Mon Feb 16 18:46:54 CST 2026","","test_core2","",""
"测试描述: 1，打开网页 http://novel.hctestedu.com/
2，搜索框中输入文字“反派”，然后点击搜索按钮
3，找到搜索结果列表序号1对应的小说名称
结果：如果名称等于“我的123反派生涯”返回“测试通过”，否则返回测试失败","1007","首页搜索功能测试","","Mon Feb 16 17:27:41 CST 2026","passed","Mon Feb 16 17:27:42 CST 2026","","test_core2","",""
"测试描述: 1，打开网页 http://192.168.0.243:8083/login?redirect=/index
2，账号输入框输入：admin
3，密码输入框输入：Qa@1234561
4，点击登录按钮
5，点击左边菜单“患者发现”，再点击“患者检索”。
结果：输出共有几项数据。如果有13项数据则返回“测试通过”，否则返回“测试失败”","1008","登录","","Mon Feb 16 18:42:20 CST 2026","failed","Mon Feb 16 18:42:21 CST 2026","","test_core2","",""
