id,product,assignedTo,resolvedBy
9778,59,closed,liuxia
9780,59,closed,liuxia
9781,59,closed,liuxia
10180,59,closed,huangchuanjun
10187,59,closed,
10190,59,closed,huangchuanjun
10192,59,closed,wumin
10208,59,closed,
10209,59,closed,wumin
10219,59,closed,fengzhenglong
11026,62,zhangxiang,zhangxiang
11027,59,closed,fengzhenglong
11028,59,closed,quhanlin
11029,40,closed,renyangyin
11030,53,zhangfengfeng,jiangweijian
11031,40,closed,yangwenqing
11032,40,closed,yangwenqing
11033,59,liyunfei,
11035,40,closed,yangwenqing
11036,40,closed,renyangyin
11037,40,closed,yangwenqing
11038,59,liuxia,Fainy
11039,59,liuxia,Fainy
11040,62,zhangxiang,liubinlong
11041,59,closed,liuxia
11042,40,closed,yangwenqing
11043,59,wangshuai,
11044,59,liuxia,Fainy
