对手,胜负,主客场,命中,投篮数,篮板,助攻,得分,日期
勇士,胜,客,10,23,6,11,27,1999/12/1
国王,胜,客,8,,3,9,27,1999/12/2
小牛,胜,主,,55,3,,29,1999/12/3
灰熊,负,主,8,20,5,8,22,1999/12/4
76人,胜,客,10,20,3,13,27,1999/12/5
黄蜂,胜,客,8,18,,11,27,1999/12/6
灰熊,负,客,6,19,4,8,20,1999/12/7
76人,负,主,8,21,4,7,29,1999/12/8,444
尼克斯,胜,客,9,23,5,9,31,1999/12/9
老鹰,胜,客,8,15,3,11,29,1999/12/10
爵士,胜,主,19,25,2,,56,1999/12/11
骑士,胜,主,8,21,11,13,35,1999/12/12
灰熊,胜,主,11,25,4,8,38,1999/12/13
步行者,胜,客,9,,5,15,26,1999/12/14
猛龙,负,主,8,25,6,11,38,1999/12/15
太阳,胜,客,12,22,2,7,48,1999/12/16
灰熊,胜,客,9,20,5,7,29,1999/12/17
掘金,胜,主,,16,8,9,21,1999/12/18
尼克斯,胜,主,12,27,2,10,37,1999/12/19
篮网,胜,主,13,20,10,8,37,1999/12/20
步行者,胜,,8,22,8,10,29,1999/12/21
湖人,胜,客,13,22,4,9,36,1999/12/22
爵士,,客,8,19,5,3,29,1999/12/23
开拓者,胜,客,16,29,8,3,48,1999/12/24
,胜,主,8,16,1,17,26,1999/12/25
