duishou,shengfu,zhukechang,minzhong,toulanshu,zhugong,defen
勇士,胜,客,10,23,11,27
国王,胜,客,8,21,9,27
小牛,胜,主,10,19,7,29
灰熊,负,主,8,20,8,22
76人,胜,客,10,20,13,27
黄蜂,胜,客,8,18,11,27
灰熊,负,客,6,19,8,20
76人,负,主,8,21,7,29
尼克斯,胜,客,9,23,9,31
老鹰,胜,客,8,15,11,29
爵士,胜,主,19,25,13,56
骑士,胜,主,8,21,13,35
灰熊,胜,主,11,25,8,38
步行者,胜,客,9,21,15,26
猛龙,负,主,8,25,11,38
太阳,胜,客,12,22,7,48
灰熊,胜,客,9,20,7,29
掘金,胜,主,6,16,9,21
尼克斯,胜,主,12,27,10,37
篮网,胜,主,13,20,8,37
步行者,胜,主,8,22,10,29
湖人,胜,客,13,22,9,36
爵士,胜,客,8,19,3,29
开拓者,胜,客,16,29,3,48
鹈鹕,胜,主,8,16,17,26
